2022-08-22 01:33:42,pingineer_jp,domain,viaseesxcvoerscznrem.vsosieovsismscvoiei.sfqlok.id,#phishing #scam,https://twitter.com/pingineer_jp/status/1561526997532102657
2022-08-22 01:33:47,pingineer_jp,domain,vioinvssxaoesnscoiwzxera.vocaseocenosucvoiei.iclxtv.id,#phishing #scam,https://twitter.com/pingineer_jp/status/1561527019518988288
2022-08-22 01:33:53,pingineer_jp,domain,viaseesciooiwzxrem.vsosirvsenismcvoiei.piokus.id,#phishing #scam,https://twitter.com/pingineer_jp/status/1561527041694244864
2022-08-22 01:33:58,pingineer_jp,domain,vioesrerceosnv.vsoersoecsivxarerescvi.ranzilm.rest,#phishing #scam,https://twitter.com/pingineer_jp/status/1561527063785246721
2022-08-22 01:34:03,pingineer_jp,domain,viaseesxcvoerscznrem.vsosieovsismscvoiei.hloymq.id,#phishing #scam,https://twitter.com/pingineer_jp/status/1561527085969338368
2022-08-22 01:34:10,pingineer_jp,domain,vianioorcecure.visorcoecssiercmsvi.fcuccth.rest,#phishing #scam,https://twitter.com/pingineer_jp/status/1561527112410202112
2022-08-22 01:34:15,pingineer_jp,domain,vioinvssaoesnsiera.vocasccosunvi.eickib.id,#phishing #scam,https://twitter.com/pingineer_jp/status/1561527134405140480
2022-08-22 01:34:20,pingineer_jp,domain,vianocenure.visoresiercvxarevi.vtwwkwu.rest,#phishing #scam,https://twitter.com/pingineer_jp/status/1561527156614000640
2022-08-22 01:34:25,pingineer_jp,domain,vioerescsnv.vsoersroirevxarevi.ntsckua.rest,#phishing #scam,https://twitter.com/pingineer_jp/status/1561527178776289280
2022-08-22 01:34:32,pingineer_jp,domain,viaseesxcviioscoiwzxrem.vsosieovensiscvoievi.wgkngu.id,#phishing #scam,https://twitter.com/pingineer_jp/status/1561527205020151808
2022-08-22 01:34:37,pingineer_jp,domain,vioerescsnv.vsoersroirevxarevi.pfvdgcs.rest,#phishing #scam,https://twitter.com/pingineer_jp/status/1561527227132825602
2022-08-22 01:34:42,pingineer_jp,domain,viaseescviioenrem.vsosirvsismsivi.gpuwcj.id,#phishing #scam,https://twitter.com/pingineer_jp/status/1561527249689804800
2022-08-22 01:34:48,pingineer_jp,domain,viaseesxcviioerscoiwzxrem.vsosieovensismsivi.jzuxde.id,#phishing #scam,https://twitter.com/pingineer_jp/status/1561527271718285312
2022-08-22 01:34:53,pingineer_jp,domain,viaseesxcviioscoiwzxrem.vsosieovensiscvoievi.riwurm.id,#phishing #scam,https://twitter.com/pingineer_jp/status/1561527294337830913
2022-08-22 01:34:58,pingineer_jp,domain,viaseesxcviioscoiwzxrem.vsosieovensiscvoievi.upzgza.id,#phishing #scam,https://twitter.com/pingineer_jp/status/1561527317041532928
2022-08-22 01:35:04,pingineer_jp,domain,viaseesciooiwzxrem.vsosirvsenismcvoiei.gndsdu.id,#phishing #scam,https://twitter.com/pingineer_jp/status/1561527339699228672
2022-08-22 01:35:09,pingineer_jp,domain,vianiorcecure.visorcoecssvxarercmsvi.zklwhxa.rest,#phishing #scam,https://twitter.com/pingineer_jp/status/1561527361929375744
