2026-08-07 07:26:00,Fact_Finder03,ip,31.77.156.5,#C2,https://x.com/Fact_Finder03/status/2085628695214195105
2026-08-07 07:26:00,Fact_Finder03,sha256,e42fece328b2bb6b8ff36703313ae64634e57c10c3de5c437fb9a86e7f6906f3,#C2,https://x.com/Fact_Finder03/status/2085628695214195105
2026-08-07 07:26:00,Fact_Finder03,sha256,bd8bf5c443279cf1a87f7b3b469d052396df8773451262af01369242c0dfda33,#C2,https://x.com/Fact_Finder03/status/2085628695214195105
2026-08-07 07:26:00,Fact_Finder03,sha256,700a83012a83b14d0f8c9b931b5b0a41e47f89710f6c565d8d0846200e640c8c,#C2,https://x.com/Fact_Finder03/status/2085628695214195105
2026-08-07 07:53:00,D3LabIT,domain,cinnamonthai.com,#RemcosRAT,https://x.com/D3LabIT/status/2085635481727897848
2026-08-07 07:53:00,D3LabIT,url,http://cinnamonthai.com/cgi-bins/05.08_8080_64.exe,#RemcosRAT,https://x.com/D3LabIT/status/2085635481727897848
2026-08-07 07:53:00,D3LabIT,domain,comeforreealz.duckdns.org,#RemcosRAT,https://x.com/D3LabIT/status/2085635481727897848
2026-08-07 07:53:00,D3LabIT,url,http://comeforreealz.duckdns.org,#RemcosRAT,https://x.com/D3LabIT/status/2085635481727897848
2026-08-07 07:53:00,D3LabIT,domain,careerlongprofit.duckdns.org,#RemcosRAT,https://x.com/D3LabIT/status/2085635481727897848
2026-08-07 07:53:00,D3LabIT,url,http://careerlongprofit.duckdns.org,#RemcosRAT,https://x.com/D3LabIT/status/2085635481727897848
2026-08-07 07:53:00,D3LabIT,md5,c5572f461bcc603de50104ec6c245098,#RemcosRAT,https://x.com/D3LabIT/status/2085635481727897848
2026-08-07 08:11:00,JAMESWT_WT,md5,61e7b67b3ca5412726f99a469d54c545,,https://x.com/JAMESWT_WT/status/2085640067482091965
2026-08-07 08:11:00,JAMESWT_WT,md5,dc0e7882ecfc9c1bc2157dda6a645be3,,https://x.com/JAMESWT_WT/status/2085640067482091965
2026-08-07 08:42:00,Fact_Finder03,ip,37.60.250.63,#C2 #RAT,https://x.com/Fact_Finder03/status/2085647634690179245
2026-08-07 08:42:00,Fact_Finder03,sha256,0f94b72741ecedb2ff640497d0f3cf10fcbc851ccf7c93e9b17f8f6d4475ca54,#C2 #RAT,https://x.com/Fact_Finder03/status/2085647634690179245
2026-08-07 08:49:00,500mk500,domain,applanding.getpixeltap.com,#ClickFix,https://x.com/500mk500/status/2085649442015690895
2026-08-07 08:49:00,500mk500,url,http://applanding.getpixeltap.com,#ClickFix,https://x.com/500mk500/status/2085649442015690895
2026-08-07 08:58:00,500mk500,url,http://143.110.195.12:3000,,https://x.com/500mk500/status/2085651901056438330
2026-08-07 08:58:00,500mk500,url,http://148.224.62.74:3000,,https://x.com/500mk500/status/2085651901056438330
2026-08-07 08:58:00,500mk500,url,http://150.251.146.213:3000,,https://x.com/500mk500/status/2085651901056438330
2026-08-07 08:58:00,500mk500,url,http://167.172.177.118:3000,,https://x.com/500mk500/status/2085651901056438330
2026-08-07 08:58:00,500mk500,url,http://37.60.250.63:3000,,https://x.com/500mk500/status/2085651901056438330
2026-08-07 08:58:00,500mk500,domain,duyai.app,,https://x.com/500mk500/status/2085651901056438330
2026-08-07 08:58:00,500mk500,url,http://duyai.app,,https://x.com/500mk500/status/2085651901056438330
2026-08-07 08:58:00,500mk500,ip,143.110.195.12,,https://x.com/500mk500/status/2085651901056438330
2026-08-07 08:58:00,500mk500,ip,148.224.62.74,,https://x.com/500mk500/status/2085651901056438330
2026-08-07 08:58:00,500mk500,ip,150.251.146.213,,https://x.com/500mk500/status/2085651901056438330
2026-08-07 08:58:00,500mk500,ip,167.172.177.118,,https://x.com/500mk500/status/2085651901056438330
2026-08-07 10:02:00,suyog41,url,http://github.com/dm1-21726,#stealer,https://x.com/suyog41/status/2085667850132558196
2026-08-07 10:02:00,suyog41,url,http://github.com/dcm1-6626,#stealer,https://x.com/suyog41/status/2085667850132558196
2026-08-07 10:02:00,suyog41,md5,3818b9eb69fef63380c67dfe64b45b18,#stealer,https://x.com/suyog41/status/2085667850132558196
2026-08-07 10:24:00,ishivtripathi,url,https://github.com/oven-sh/bun/releases/download/,#malware,https://x.com/ishivtripathi/status/2085673388266369237
2026-08-07 10:24:00,ishivtripathi,domain,release-assets.githubusercontent.com,#malware,https://x.com/ishivtripathi/status/2085673388266369237
2026-08-07 10:24:00,ishivtripathi,url,https://release-assets.githubusercontent.com,#malware,https://x.com/ishivtripathi/status/2085673388266369237
2026-08-07 10:24:00,ishivtripathi,sha256,9fc2570b7cef51c1b8df116d144d11ff4096357be7d2c4c6367cfc2509cf1bcc,#malware,https://x.com/ishivtripathi/status/2085673388266369237
2026-08-07 10:24:00,ishivtripathi,sha256,54dc7ea54a1317cca0e890a2770630cf7fa6c97813e0cb9d2caa93012b350668,#malware,https://x.com/ishivtripathi/status/2085673388266369237
2026-08-07 10:24:00,ishivtripathi,sha256,fd3ca4007b225fdf8de7af4345a19179d5efa8c4bb9205f88cda806e5684b1eb,#malware,https://x.com/ishivtripathi/status/2085673388266369237
2026-08-07 10:24:00,ishivtripathi,sha256,b27b82afa5f15512f3856e549fb83d873fd0049759a4b62ce64c8d7d4dc2c678,#malware,https://x.com/ishivtripathi/status/2085673388266369237
2026-08-07 10:44:00,masaomi346,url,http://192.109.11.213,,https://x.com/masaomi346/status/2085678499453641060
2026-08-07 10:44:00,masaomi346,ip,192.109.11.213,,https://x.com/masaomi346/status/2085678499453641060
2026-08-07 10:59:00,Malwarehunterr,domain,drvupdates.com,#malware,https://x.com/Malwarehunterr/status/2085682189715546454
2026-08-07 10:59:00,Malwarehunterr,url,https://drvupdates.com,#malware,https://x.com/Malwarehunterr/status/2085682189715546454
2026-08-07 10:59:00,Malwarehunterr,url,http://drvupdates.com/meetsdrv.zip,#malware,https://x.com/Malwarehunterr/status/2085682189715546454
2026-08-07 10:59:00,Malwarehunterr,url,http://31.57.38.141:3333,#malware,https://x.com/Malwarehunterr/status/2085682189715546454
2026-08-07 10:59:00,Malwarehunterr,ip,31.57.38.141,#malware,https://x.com/Malwarehunterr/status/2085682189715546454
2026-08-07 10:59:00,Malwarehunterr,sha256,0614cca495539cfe5c281a638060f1d9c990b6be0eda7c3bdbb363bd4f18206c,#malware,https://x.com/Malwarehunterr/status/2085682189715546454
