2026-06-28 17:52:00,FalconFeedsio,url,http://code-jquery.net,,https://x.com/FalconFeedsio/status/2071290776005570894
2026-06-28 17:52:00,FalconFeedsio,domain,bootstrapscdn.com,,https://x.com/FalconFeedsio/status/2071290776005570894
2026-06-28 17:52:00,FalconFeedsio,url,http://bootstrapscdn.com,,https://x.com/FalconFeedsio/status/2071290776005570894
2026-06-28 17:52:00,FalconFeedsio,domain,cdnjs.cloudflire.com,,https://x.com/FalconFeedsio/status/2071290776005570894
2026-06-28 17:52:00,FalconFeedsio,url,http://cdnjs.cloudflire.com,,https://x.com/FalconFeedsio/status/2071290776005570894
2026-06-28 17:52:00,FalconFeedsio,ip,94.140.115.129,,https://x.com/FalconFeedsio/status/2071290776005570894
2026-06-28 17:52:00,FalconFeedsio,ip,94.140.114.239,,https://x.com/FalconFeedsio/status/2071290776005570894
2026-06-28 17:52:00,FalconFeedsio,ip,161.35.199.2,,https://x.com/FalconFeedsio/status/2071290776005570894
2026-06-28 17:52:00,FalconFeedsio,ip,77.91.66.85,,https://x.com/FalconFeedsio/status/2071290776005570894
2026-06-28 17:52:00,FalconFeedsio,ip,108.165.164.155,,https://x.com/FalconFeedsio/status/2071290776005570894
2026-06-28 17:52:00,FalconFeedsio,ip,45.153.34.146,,https://x.com/FalconFeedsio/status/2071290776005570894
2026-06-28 17:52:00,FalconFeedsio,ip,185.236.25.119,,https://x.com/FalconFeedsio/status/2071290776005570894
2026-06-28 18:58:00,tial_cl,domain,pasastesintag26.click,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,url,http://pasastesintag26.click,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,domain,pasastesintap.cfd,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,url,http://pasastesintap.cfd,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,domain,pasastesintap.cyou,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,url,http://pasastesintap.cyou,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,domain,pasastesintagas.mom,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,url,http://pasastesintagas.mom,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,domain,pasastesintagi.best,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,url,http://pasastesintagi.best,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,domain,pasastesintagi.rest,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,url,http://pasastesintagi.rest,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,domain,pasastesintagi.top,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,url,http://pasastesintagi.top,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,domain,pasastesintagionline.click,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,url,http://pasastesintagionline.click,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,domain,pasastesintagionline.help,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,url,http://pasastesintagionline.help,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,domain,pasastesintagionline.sbs,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,url,http://pasastesintagionline.sbs,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,domain,pasastesintagcl.best,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,url,http://pasastesintagcl.best,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,domain,pasastesintagcl.icu,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,url,http://pasastesintagcl.icu,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,domain,pasastesintagcl.life,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,url,http://pasastesintagcl.life,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,domain,pasastesintagcl.mom,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,url,http://pasastesintagcl.mom,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,domain,pasastesintagcl.rest,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,url,http://pasastesintagcl.rest,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,domain,pasastesintaplmw.click,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,url,http://pasastesintaplmw.click,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,domain,pasastesintag.xyz,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,url,http://pasastesintag.xyz,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,domain,pasastesintagas.best,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,url,http://pasastesintagas.best,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,domain,pasastesintagas.click,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,url,http://pasastesintagas.click,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,domain,pasastesintagas.buzz,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,url,http://pasastesintagas.buzz,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,domain,pasastesintagas.help,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,url,http://pasastesintagas.help,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,domain,pasastesintagas.casa,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,url,http://pasastesintagas.casa,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,domain,pasastesintag.pics,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,url,http://pasastesintag.pics,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,domain,parastesintag.buzz,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,url,http://parastesintag.buzz,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,domain,parastesintag.cfd,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,url,http://parastesintag.cfd,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,domain,parastesintag.click,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,url,http://parastesintag.click,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,domain,parastesintag.cyou,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,url,http://parastesintag.cyou,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,domain,parastesintag.help,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,url,http://parastesintag.help,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,domain,parastesintag.homes,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,url,http://parastesintag.homes,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,domain,parastesintag.icu,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,url,http://parastesintag.icu,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,domain,parastesintag.lat,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,url,http://parastesintag.lat,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,domain,parastesintag.lol,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,url,http://parastesintag.lol,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,domain,parastesintag.sbs,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,url,http://parastesintag.sbs,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,domain,parastesintag.top,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,url,http://parastesintag.top,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,domain,parastesintag.yachts,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,url,http://parastesintag.yachts,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,domain,pasastesintag.beer,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,url,http://pasastesintag.beer,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,domain,pasastesintag.best,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,url,http://pasastesintag.best,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,domain,pasastesintag.casa,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,url,http://pasastesintag.casa,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,domain,pasastesintag.courses,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,url,http://pasastesintag.courses,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,domain,pasastesintag.cyou,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,url,http://pasastesintag.cyou,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,domain,pasastesintag.digital,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,url,http://pasastesintag.digital,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,domain,pasastesintag.fit,#phishing,https://x.com/tial_cl/status/2071307374497861790
