2025-04-02 22:08:57,Phish_Destroy,domain,tronlink-wallet.net,#phishing,https://x.com/Phish_Destroy/status/1907555881677377781
2025-04-02 22:08:57,Phish_Destroy,url,https://tronlink-wallet.net,#phishing,https://x.com/Phish_Destroy/status/1907555881677377781
2025-04-02 22:29:27,Phish_Destroy,domain,blurunft.github.io,#phishing,https://x.com/Phish_Destroy/status/1907561038897361233
2025-04-02 22:29:27,Phish_Destroy,url,https://blurunft.github.io,#phishing,https://x.com/Phish_Destroy/status/1907561038897361233
2025-04-02 22:36:17,drb_ra,url,http://103.27.110.192:53,#C2 #CobaltStrike,https://x.com/drb_ra/status/1907562759144763874
2025-04-02 22:36:17,drb_ra,ip,103.27.110.192,#C2 #CobaltStrike,https://x.com/drb_ra/status/1907562759144763874
2025-04-02 22:51:48,Phish_Destroy,domain,summitawards.us,#phishing,https://x.com/Phish_Destroy/status/1907566664406938110
2025-04-02 22:51:48,Phish_Destroy,url,http://summitawards.us,#phishing,https://x.com/Phish_Destroy/status/1907566664406938110
2025-04-02 23:15:56,redrabytes,url,http://84.201.20.155/hiddenbin/Space.mips,#malware,https://x.com/redrabytes/status/1907572737356312706
2025-04-02 23:15:56,redrabytes,url,http://84.201.20.155,#malware,https://x.com/redrabytes/status/1907572737356312706
2025-04-02 23:15:56,redrabytes,url,http://84.201.20.155:3778,#malware,https://x.com/redrabytes/status/1907572737356312706
2025-04-02 23:15:56,redrabytes,ip,84.201.20.155,#malware,https://x.com/redrabytes/status/1907572737356312706
