2022-10-29 03:39:34,ecarlesi,url,https://tyro5.doctor/,#malware,https://twitter.com/ecarlesi/status/1586201047495745536
2022-10-29 03:43:09,PhishStats,ip,20.43.146.131,#phishing,https://twitter.com/PhishStats/status/1586201948570750976
2022-10-29 03:43:09,PhishStats,url,http://www.eriks.com.sg/,#phishing,https://twitter.com/PhishStats/status/1586201948570750976
2022-10-29 03:45:21,hunter_phishing,url,https://rebrand.ly/a98514,#phishing,https://twitter.com/hunter_phishing/status/1586202503112450048
2022-10-29 03:56:22,ecarlesi,url,http://cherishokonta.live/app/,#phishing,https://twitter.com/ecarlesi/status/1586205274418954240
2022-10-29 03:58:24,ecarlesi,url,https://ky5580610.cc/,#malware,https://twitter.com/ecarlesi/status/1586205785926795267
2022-10-29 04:04:12,AP_Zenmashi,url,https://ekl1-neettn.cyou,#phishing #scam,https://twitter.com/AP_Zenmashi/status/1586207245540286464
2022-10-29 04:06:56,ecarlesi,url,http://saantander.store/,#phishing,https://twitter.com/ecarlesi/status/1586207932563480576
2022-10-29 04:13:12,ecarlesi,url,http://3p66.net/,#malware,https://twitter.com/ecarlesi/status/1586209509902618625
2022-10-29 04:13:37,ecarlesi,url,https://saantander.store/,#phishing,https://twitter.com/ecarlesi/status/1586209617452814336
2022-10-29 04:16:34,ecarlesi,url,http://alsckafcu.live,#phishing,https://twitter.com/ecarlesi/status/1586210356514414592
2022-10-29 04:31:04,AP_Zenmashi,ip,23.94.61.106,#phishing #scam,https://twitter.com/AP_Zenmashi/status/1586214005957218304
2022-10-29 04:31:04,AP_Zenmashi,url,https://jcb-app.com,#phishing #scam,https://twitter.com/AP_Zenmashi/status/1586214005957218304
2022-10-29 04:32:46,ecarlesi,url,https://koltushi.info,#phishing,https://twitter.com/ecarlesi/status/1586214435567419393
2022-10-29 04:34:13,ecarlesi,url,https://rgds8.stream/,#malware,https://twitter.com/ecarlesi/status/1586214798282625025
2022-10-29 04:38:07,ecarlesi,url,https://cpainell.xyz/bitget%20-%204.0.zip,#phishing,https://twitter.com/ecarlesi/status/1586215783021137921
2022-10-29 04:42:16,ecarlesi,url,https://information-securite.info,#phishing,https://twitter.com/ecarlesi/status/1586216824802246657
2022-10-29 04:49:41,ecarlesi,url,https://amzrsxwrx.com,#phishing,https://twitter.com/ecarlesi/status/1586218694350438403
2022-10-29 04:49:48,ecarlesi,url,https://amzrcvxw.com,#phishing,https://twitter.com/ecarlesi/status/1586218723635040258
2022-10-29 05:00:22,hunter_phishing,url,https://rebrand.ly/02e9c5,#phishing,https://twitter.com/hunter_phishing/status/1586221381670227969
