2024-03-31 07:05:34,harugasumi,url,https://hds587.top/?2kva3i2s,#phishing,https://twitter.com/harugasumi/status/1774332191864140166
2024-03-31 07:05:34,harugasumi,domain,hds587.top,#phishing,https://twitter.com/harugasumi/status/1774332191864140166
2024-03-31 07:05:34,harugasumi,url,https://deikh.top/?2kva3i2s,#phishing,https://twitter.com/harugasumi/status/1774332191864140166
2024-03-31 07:05:34,harugasumi,domain,hds589.top,#phishing,https://twitter.com/harugasumi/status/1774332191864140166
2024-03-31 08:02:59,ShanHolo,md5,c518d573a716b2b2bc2413e6c9b5dbde,,https://twitter.com/ShanHolo/status/1774346639114641681
2024-03-31 08:11:54,drb_ra,ip,121.199.0.54,#CobaltStrike,https://twitter.com/drb_ra/status/1774348883465810377
2024-03-31 08:11:54,drb_ra,url,https://121.199.0.54/api/getit,#CobaltStrike,https://twitter.com/drb_ra/status/1774348883465810377
2024-03-31 08:11:54,drb_ra,url,http://121.199.0.54:80,#CobaltStrike,https://twitter.com/drb_ra/status/1774348883465810377
2024-03-31 08:39:32,1ZRR4H,sha256,7c636f1c9e4d9032d66a58f263b3006788047488e00fc26997b915e9d1f174bf,,https://twitter.com/1ZRR4H/status/1774355839165280493
2024-03-31 08:39:32,1ZRR4H,domain,aeza.shield.surf,,https://twitter.com/1ZRR4H/status/1774355839165280493
2024-03-31 08:39:32,1ZRR4H,url,http://aeza.shield.surf,,https://twitter.com/1ZRR4H/status/1774355839165280493
2024-03-31 08:39:32,1ZRR4H,domain,shield.surf,,https://twitter.com/1ZRR4H/status/1774355839165280493
2024-03-31 08:39:32,1ZRR4H,url,http://shield.surf,,https://twitter.com/1ZRR4H/status/1774355839165280493
2024-03-31 08:39:32,1ZRR4H,domain,gameshield.io,,https://twitter.com/1ZRR4H/status/1774355839165280493
2024-03-31 08:39:32,1ZRR4H,url,http://gameshield.io,,https://twitter.com/1ZRR4H/status/1774355839165280493
2024-03-31 08:39:32,1ZRR4H,ip,77.221.137.93,,https://twitter.com/1ZRR4H/status/1774355839165280493
2024-03-31 08:43:47,1ZRR4H,sha256,910077fa834a5a156c40c9dba7637611522c248b1b32d32fef23b42dfab11896,,https://twitter.com/1ZRR4H/status/1774356908897419376
2024-03-31 08:43:47,1ZRR4H,ip,45.133.74.48,,https://twitter.com/1ZRR4H/status/1774356908897419376
2024-03-31 08:43:47,1ZRR4H,domain,tratata.shield.surf,,https://twitter.com/1ZRR4H/status/1774356908897419376
2024-03-31 08:43:47,1ZRR4H,url,http://tratata.shield.surf,,https://twitter.com/1ZRR4H/status/1774356908897419376
2024-03-31 08:43:47,1ZRR4H,ip,147.45.40.125,,https://twitter.com/1ZRR4H/status/1774356908897419376
2024-03-31 09:52:09,kubotaa3,domain,jiongseng.com,#phishing,https://twitter.com/kubotaa3/status/1774374113144185254
2024-03-31 09:52:09,kubotaa3,domain,huijucfzg.com,#phishing,https://twitter.com/kubotaa3/status/1774374113144185254
2024-03-31 09:52:09,kubotaa3,url,https://www.huijucfzg.com,#phishing,https://twitter.com/kubotaa3/status/1774374113144185254
2024-03-31 09:52:09,kubotaa3,url,https://www.jiongseng.com,#phishing,https://twitter.com/kubotaa3/status/1774374113144185254
2024-03-31 09:58:20,harugasumi,domain,tinyurl.com,#phishing,https://twitter.com/harugasumi/status/1774375669180641785
2024-03-31 09:58:20,harugasumi,url,https://tinyurl.com/yv534jyr,#phishing,https://twitter.com/harugasumi/status/1774375669180641785
2024-03-31 09:59:35,ollieatnowhere,md5,a6112d54777845d389bd7126d6e9f504,,https://twitter.com/ollieatnowhere/status/1774375984126382313
2024-03-31 10:02:47,harugasumi,url,https://www.mochonglu.com,#phishing,https://twitter.com/harugasumi/status/1774376787369464121
2024-03-31 10:02:47,harugasumi,url,https://www.sydneysha.com,#phishing,https://twitter.com/harugasumi/status/1774376787369464121
2024-03-31 10:02:47,harugasumi,domain,sydneysha.com,#phishing,https://twitter.com/harugasumi/status/1774376787369464121
2024-03-31 10:02:47,harugasumi,url,https://www.swoptec.com,#phishing,https://twitter.com/harugasumi/status/1774376787369464121
2024-03-31 10:02:47,harugasumi,domain,swoptec.com,#phishing,https://twitter.com/harugasumi/status/1774376787369464121
2024-03-31 10:02:47,harugasumi,url,https://www.sumijang.com,#phishing,https://twitter.com/harugasumi/status/1774376787369464121
2024-03-31 10:02:47,harugasumi,domain,sumijang.com,#phishing,https://twitter.com/harugasumi/status/1774376787369464121
2024-03-31 10:02:47,harugasumi,url,https://www.soprt-zk.com,#phishing,https://twitter.com/harugasumi/status/1774376787369464121
2024-03-31 10:02:47,harugasumi,domain,soprt-zk.com,#phishing,https://twitter.com/harugasumi/status/1774376787369464121
2024-03-31 10:02:47,harugasumi,domain,shqjhwxh.com,#phishing,https://twitter.com/harugasumi/status/1774376787369464121
2024-03-31 10:02:47,harugasumi,url,https://www.sdtxskt.com,#phishing,https://twitter.com/harugasumi/status/1774376787369464121
2024-03-31 10:02:47,harugasumi,domain,sdtxskt.com,#phishing,https://twitter.com/harugasumi/status/1774376787369464121
2024-03-31 10:02:47,harugasumi,url,https://www.qswenxue.com,#phishing,https://twitter.com/harugasumi/status/1774376787369464121
2024-03-31 10:02:47,harugasumi,domain,qswenxue.com,#phishing,https://twitter.com/harugasumi/status/1774376787369464121
2024-03-31 10:02:47,harugasumi,url,https://www.qcwovjg.com,#phishing,https://twitter.com/harugasumi/status/1774376787369464121
2024-03-31 10:02:47,harugasumi,domain,qcwovjg.com,#phishing,https://twitter.com/harugasumi/status/1774376787369464121
2024-03-31 10:02:47,harugasumi,url,https://www.shqjhwxh.com,#phishing,https://twitter.com/harugasumi/status/1774376787369464121
2024-03-31 10:02:47,harugasumi,domain,mochonglu.com,#phishing,https://twitter.com/harugasumi/status/1774376787369464121
2024-03-31 10:03:25,harugasumi,ip,168.76.121.114,#phishing,https://twitter.com/harugasumi/status/1774376948573303090
2024-03-31 10:03:25,harugasumi,url,https://www.wfmacau.com,#phishing,https://twitter.com/harugasumi/status/1774376948573303090
2024-03-31 10:03:25,harugasumi,url,https://www.taimeiyw.com,#phishing,https://twitter.com/harugasumi/status/1774376948573303090
2024-03-31 10:03:25,harugasumi,domain,taimeiyw.com,#phishing,https://twitter.com/harugasumi/status/1774376948573303090
2024-03-31 10:03:25,harugasumi,domain,wfmacau.com,#phishing,https://twitter.com/harugasumi/status/1774376948573303090
2024-03-31 10:19:46,drb_ra,url,http://156.232.192.101:808,#CobaltStrike,https://twitter.com/drb_ra/status/1774381061759254929
2024-03-31 10:19:46,drb_ra,ip,156.232.192.101,#CobaltStrike,https://twitter.com/drb_ra/status/1774381061759254929
2024-03-31 10:21:16,drb_ra,url,https://192.236.176.143/cm,#CobaltStrike,https://twitter.com/drb_ra/status/1774381439661768954
2024-03-31 10:21:16,drb_ra,url,http://192.236.176.143:443,#CobaltStrike,https://twitter.com/drb_ra/status/1774381439661768954
2024-03-31 10:21:16,drb_ra,ip,192.236.176.143,#CobaltStrike,https://twitter.com/drb_ra/status/1774381439661768954
2024-03-31 10:21:56,drb_ra,url,http://154.219.177.156:808,#CobaltStrike,https://twitter.com/drb_ra/status/1774381608788725763
2024-03-31 10:21:56,drb_ra,ip,154.219.177.156,#CobaltStrike,https://twitter.com/drb_ra/status/1774381608788725763
2024-03-31 10:21:56,drb_ra,domain,g.fyss888.com,#CobaltStrike,https://twitter.com/drb_ra/status/1774381608788725763
2024-03-31 10:21:56,drb_ra,url,https://g.fyss888.com/ca,#CobaltStrike,https://twitter.com/drb_ra/status/1774381608788725763
2024-03-31 10:22:23,drb_ra,domain,m.old.gxjczx.gov.cn,#CobaltStrike,https://twitter.com/drb_ra/status/1774381720470532332
2024-03-31 10:22:23,drb_ra,url,https://m.old.gxjczx.gov.cn/info,#CobaltStrike,https://twitter.com/drb_ra/status/1774381720470532332
2024-03-31 10:22:23,drb_ra,domain,3g.ali213.net,#CobaltStrike,https://twitter.com/drb_ra/status/1774381720470532332
2024-03-31 10:22:23,drb_ra,url,https://3g.ali213.net/info,#CobaltStrike,https://twitter.com/drb_ra/status/1774381720470532332
2024-03-31 10:22:23,drb_ra,url,http://124.223.220.143:443,#CobaltStrike,https://twitter.com/drb_ra/status/1774381720470532332
2024-03-31 10:22:23,drb_ra,ip,124.223.220.143,#CobaltStrike,https://twitter.com/drb_ra/status/1774381720470532332
2024-03-31 10:23:13,drb_ra,url,https://45.61.136.169/api/3,#CobaltStrike,https://twitter.com/drb_ra/status/1774381930001109495
2024-03-31 10:23:13,drb_ra,url,http://45.61.136.169:443,#CobaltStrike,https://twitter.com/drb_ra/status/1774381930001109495
2024-03-31 10:23:13,drb_ra,ip,45.61.136.169,#CobaltStrike,https://twitter.com/drb_ra/status/1774381930001109495
